start_dt	starter	direct_msgs	source	start_text
2023-01-09T10:45:37+01:00	kon	3	messages27.html#473945	How could you
2023-04-23T20:15:33+01:00	kon	2	messages48.html#503418	One thing to note is that in some instances, you could use a period to break up long sentences and make them easier to read. For example, in the sentence "Clean and used clothes, stacks of documents, dirty mugs and plate
2023-06-28T22:45:29+01:00	zeno	2	messages63.html#522867	you always say you'll help me make a plan
2023-09-27T09:16:04+01:00	zeno	2	messages82.html#544891	i don't have any money please leave me alone
