start_dt	starter	source	start_text	recip_source	recip_text
2023-01-09T10:45:37+01:00	kon	messages27.html#473945	How could you	messages27.html#473955	you always send him
2023-04-01T08:38:56+01:00	zeno	messages45.html#497901	not your fault at all	messages45.html#497957	No clue
2023-06-28T22:45:29+01:00	zeno	messages63.html#522867	you always say you'll help me make a plan	messages63.html#522882	You said you never used it
2023-08-19T18:54:49+01:00	zeno	messages75.html#535959	as a viewer, fuck you Sherlock	messages75.html#536010	But I still don't understand how she fits in this
2025-11-30T11:45:26+01:00	zeno	messages182.html#686139	and you being happily free to casually say and do whatever the fuck you want	messages182.html#686144	Please let's stop this
