start_dt	starter	direct_msgs	source	start_text	first_other_direct_source	first_other_direct_text
2022-11-12T09:28:31+01:00	zeno	4	messages4.html#446165	i am NOT giving you ANY blame	messages4.html#446242	Yeah but when I try to exit you either ignore it or freak out :c
2022-12-31T10:05:33+01:00	zeno	3	messages24.html#469406	you can ignore or answer with gentol tips	messages24.html#469582	Other stuff: - Pick a random word or phrase from a dictionary or thesaurus and see how long we can hold a conversation about it - Play the "20 Questions" game where we think of som
2023-01-09T10:45:37+01:00	kon	3	messages27.html#473945	How could you	messages27.html#473955	you always send him
2023-01-22T22:07:55+01:00	kon	10	messages33.html#481066	you confusing the girl in childhood, and you thinking you have gaslighted her	messages33.html#481134	what i meant was, both 11 years ago, and now with Marti, it felt good, like euphoria, that someone was talking to me assuming i was a boy. 11 years ago, the girl was disappointed, 
2023-02-11T08:51:53+01:00	kon	2	messages36.html#486163	Because she was like "I'm done with you laying on that thing"	messages36.html#486231	you lie?
2023-06-28T22:40:39+01:00	zeno	3	messages63.html#522829	i won't, i never do, i never will, because i have already decided that I won't, and one day you will finally be so fed up that you'll leave, and i know this, I've always known this, that one day you will leave because I'	messages63.html#522882	You said you never used it
2024-08-23T08:16:00+01:00	zeno	3	messages130.html#606107	i understand that you're hurt	messages130.html#606120	It feels like you've left many months ago and never came back
